37	Which is right?	What's the matter? $Blankspace$	Why you are crying?$MCQ$	Why you crying?$MCQ$	Why are you crying?$MCQ$	$FIB$Why are you crying?
38	Which is right?	Where's your mother? $Blankspace$	Is working?$MCQ$	Is she working?$MCQ$	Is working she?$MCQ$	$FIB$Is she working?
39	Which is right?	Why are you here? $Blankspace$	What you doing?$MCQ$	What you are doing?$MCQ$	What are you doing?$MCQ$	$FIB$What are you doing?
40	Which is right?	$Blankspace$	Which hotel are staying at your friends?$MCQ$	Which hotel your friends are staying at?$MCQ$	Which hotel are your friends staying at?$MCQ$	$FIB$Which hotel are your friends staying at?
41	Which is right?	We don't need to hurry. $Blankspace$	Why are you driving so fast?$MCQ$	Why you are driving so fast?$MCQ$	Why are driving you so fast?$MCQ$	$FIB$Why are you driving so fast?
42	Which is right?	Who are those people? $Blankspace$	Are waiting for somebody?$MCQ$	Are they waiting for somebody?$MCQ$	They waiting for somebody?$MCQ$	$FIB$Are they waiting for somebody?
43	Which is right?	$Blankspace$	What is Jess studying at college?$MCQ$	What is studying Jess at college?$MCQ$	What Jess is studying at college?$MCQ$	$FIB$What is Jess studying at college?
68	Which is right?	Tanya $Blankspace$ German very well.	speak$MCQ$	speaks$MCQ$	$FIB$speaks
69	Which is right?	My parents $Blankspace$ in a very small flat.	live$MCQ$	lives$MCQ$	$FIB$live
70	Which is right?	The museum $Blankspace$ at 4 o'clock on Sundays.	close$MCQ$	closes$MCQ$	$FIB$closes
71	Which is right?	Bad driving $Blankspace$ many accidents.	cause$MCQ$	causes$MCQ$	$FIB$causes
72	Which is right?	Ben and Jack $Blankspace$ to the same school.	go$MCQ$	goes$MCQ$	$FIB$go
73	Which is right?	The Olympic Games $Blankspace$ place every four years.	take$MCQ$	takes$MCQ$	$FIB$take
74	Which is right?	The city centre isn't far. It only $Blankspace$ 20 minutes to get there.	take$MCQ$	takes$MCQ$	$FIB$takes
75	Which is right?	Jess is very nice. She never $Blankspace$.	complain$MCQ$	complains$MCQ$	$FIB$complains
76	Which is right?	Some people $Blankspace$ all the time.	complain$MCQ$	complains$MCQ$	$FIB$complain
77	Which is right?	The Panama Canal $Blankspace$ the Atlantic and Pacific Oceans.	connect$MCQ$	connects$MCQ$	$FIB$connects
87	Which is right?	The sun $Blankspace$ in the east.	rise$MCQ$	rises$MCQ$	don't rise$MCQ$	doesn't rise$MCQ$	$FIB$rises
88	Which is right?	Bees $Blankspace$ honey.	make$MCQ$	makes$MCQ$	don't make$MCQ$	doesn't make$MCQ$	$FIB$make
89	Which is right?	Vegetarians $Blankspace$ meat.	eat$MCQ$	eats$MCQ$	don't eat$MCQ$	doesn't eat$MCQ$	$FIB$don't eat
90	Which is right?	An atheist $Blankspace$ in God.	believe$MCQ$	believes$MCQ$	don't believe$MCQ$	doesn't believe$MCQ$	$FIB$doesn't believe
91	Which is right?	An interpreter $Blankspace$ from one language into another.	translate$MCQ$	translates$MCQ$	don't translate$MCQ$	doesn't translate$MCQ$	$FIB$translates
92	Which is right?	Liars are people who $Blankspace$ the truth.	tell$MCQ$	tells$MCQ$	don't tell$MCQ$	doesn't tell$MCQ$	$FIB$don't tell
93	Which is right?	The Amazon $Blankspace$ into the Atlantic Ocean.	flow$MCQ$	flows$MCQ$	don't flow$MCQ$	doesn't flow$MCQ$	$FIB$flows
94	Which is right?	The sun $Blankspace$ round the earth.	go$MCQ$	goes$MCQ$	don't go$MCQ$	doesn't go$MCQ$	$FIB$doesn't go
95	Which is right?	$Blankspace$	How often you go to the cinema?$MCQ$	How often do you go to the cinema?$MCQ$	How often go you to the cinema?$MCQ$	$FIB$How often do you go to the cinema?
96	Which is right?	$Blankspace$	Do you speak any other languages?$MCQ$	Speak you any other languages?$MCQ$	Are you speak any other languages?$MCQ$	$FIB$Do you speak any other languages?
97	Which is right?	$Blankspace$	What time has he usually dinner?$MCQ$	What time does he usually have dinner?$MCQ$	What time he usually has dinner?$MCQ$	$FIB$What time does he usually have dinner?
98	Which is right?	It's not expensive to rent a car. $Blankspace$	It don't cost much.$MCQ$	It costs not much.$MCQ$	It doesn't cost much.$MCQ$	$FIB$It doesn't cost much.
99	Which is right?	$Blankspace$	What do you usually do at weekends?$MCQ$	What do you usually at weekends?$MCQ$	What you do usually at weekends?$MCQ$	$FIB$What do you usually do at weekends?
100	Which is right?	Victor is lazy. $Blankspace$	He doesn't anything.$MCQ$	He don't do anything.$MCQ$	He doesn't do anything.$MCQ$	$FIB$He doesn't do anything.
101	Which is right?	$Blankspace$	What is this word mean?$MCQ$	What does this word mean?$MCQ$	What means this word?$MCQ$	$FIB$What does this word mean?
102	Which is right?	'My sister is a teacher.' $Blankspace$	'What she teach?'$MCQ$	'What she teaches?'$MCQ$	'What does she teach?'$MCQ$	$FIB$'What does she teach?'
112	Which is right?	$Blankspace$	I always drink coffee in the morning.$MCQ$	I drink always coffee in the morning.$MCQ$	$FIB$I always drink coffee in the morning.
113	Which is right?	$Blankspace$	It rains always when we go to the beach.$MCQ$	It always rains when we go to the beach.$MCQ$	$FIB$It always rains when we go to the beach.
114	Which is right?	$Blankspace$	It takes me usually about 40 minutes to get to work.$MCQ$	It usually takes me about 40 minutes to get to work.$MCQ$	$FIB$It usually takes me about 40 minutes to get to work.
115	Which is right?	$Blankspace$	Ben usually takes an umbrella with him when he goes out.$MCQ$	Ben takes usually an umbrella with him when he goes out.$MCQ$	$FIB$Ben usually takes an umbrella with him when he goes out.
116	Which is right?	$Blankspace$	You make always the same mistake.$MCQ$	You always make the same mistake.$MCQ$	$FIB$You always make the same mistake.
117	Which is right?	$Blankspace$	They watch hardly ever TV.$MCQ$	They hardly ever watch TV.$MCQ$	$FIB$They hardly ever watch TV.
123	Which is right?	$Blankspace$	Can you hear those people? What are they talking about?$MCQ$	Can you hear those people? What do they talk about?$MCQ$	$FIB$Can you hear those people? What are they talking about?
124	Which is right?	$Blankspace$	The moon is going round the earth in about 27 days.$MCQ$	The moon goes round the earth in about 27 days.$MCQ$	$FIB$The moon goes round the earth in about 27 days.
125	Which is right?	$Blankspace$	Ben is trying to find a job, but he hasn't had any luck yet.$MCQ$	Ben tries to find a job, but he hasn't had any luck yet.$MCQ$	$FIB$Ben is trying to find a job, but he hasn't had any luck yet.
126	Which is right?	$Blankspace$	I'm usually getting hungry in the afternoon.$MCQ$	I usually get hungry in the afternoon.$MCQ$	$FIB$I usually get hungry in the afternoon.
127	Which is right?	$Blankspace$	I'm getting hungry. Let's go and eat.$MCQ$	I get hungry. Let's go and eat.$MCQ$	$FIB$I'm getting hungry. Let's go and eat.
128	Which is right?	$Blankspace$	I like fish. I eat it a lot.$MCQ$	I like fish. I'm eating it a lot.$MCQ$	$FIB$I like fish. I eat it a lot.
129	Which is right?	$Blankspace$	Every day Martina is phoning her mother.$MCQ$	Every day Martina phones her mother.$MCQ$	$FIB$Every day Martina phones her mother.
130	Which is right?	$Blankspace$	'Come on! It's time to go.' 'OK, I'm coming.'$MCQ$	'Come on! It's time to go.' 'OK, I come.'$MCQ$	$FIB$'Come on! It's time to go.' 'OK, I'm coming.'
131	Which is right?	$Blankspace$	I hear you have a new job. How is it going?$MCQ$	I hear you have a new job. How does it go?$MCQ$	$FIB$I hear you have a new job. How is it going?
132	Which is right?	$Blankspace$	Lisa is never late. She's always starting work on time.$MCQ$	Lisa is never late. She always starts work on time.$MCQ$	$FIB$Lisa is never late. She always starts work on time.
133	Which is right?	Hurry up! Everybody $Blankspace$ for you.	wait$MCQ$	is waiting$MCQ$	waiting$MCQ$	waits$MCQ$	$FIB$is waiting
134	Which is right?	Julia is good at languages. $Blankspace$ four languages very well.	She speak$MCQ$	She's speaking$MCQ$	She speaks$MCQ$	She speaking$MCQ$	$FIB$She speaks
135	Which is right?	My English $Blankspace$ better. I'm pleased with my progress.	get$MCQ$	gets$MCQ$	getting$MCQ$	is getting$MCQ$	$FIB$is getting
136	Which is right?	A: What $Blankspace$?<br />B: He's an architect.	does your father$MCQ$	does your father do$MCQ$	your father do$MCQ$	is doing your father$MCQ$	$FIB$does your father do
137	Which is right?	Can we stop walking soon, please? $Blankspace$ to feel tired.	I'm starting$MCQ$	I start$MCQ$	I starting$MCQ$	I'm start$MCQ$	$FIB$I'm starting
138	Which is right?	I've never heard this word before. How $Blankspace$ it?	do you pronounce$MCQ$	you pronounce$MCQ$	are you pronounce$MCQ$	does pronounce$MCQ$	$FIB$do you pronounce
139	Which is right?	A: Can you drive?<br />B: $Blankspace$. My driving test is next month.	I learn$MCQ$	I am learn$MCQ$	I learning$MCQ$	I'm learning$MCQ$	$FIB$I'm learning
140	Which is right?	It took me an hour to get to work this morning. It $Blankspace$ so long.	don't usually take$MCQ$	isn't usually taking$MCQ$	doesn't usually take$MCQ$	usually takes$MCQ$	$FIB$doesn't usually take
141	Which is right?	A: $Blankspace$ to the radio?<br />B: No, you can turn it off.	Do you listening$MCQ$	Are you listening$MCQ$	Do you listen$MCQ$	Are you listen$MCQ$	$FIB$Are you listening
142	Which is right?	A: $Blankspace$ to the radio every day?<br />B: No, just occasionally.	Do you listening$MCQ$	Are you listening$MCQ$	Do you listen$MCQ$	Are you listen$MCQ$	$FIB$Do you listen
143	Which is right?	I'm not very active. $Blankspace$ any sports.	I do$MCQ$	I don't$MCQ$	I doesn't$MCQ$	I don't do$MCQ$	$FIB$I don't do
144	Which is right?	Why are all these people here? $Blankspace$?	What happens$MCQ$	What's happen$MCQ$	What's happening$MCQ$	What happening$MCQ$	$FIB$What's happening
161	Which is right?	$Blankspace$	Don't put the dictionary away. I need it.$MCQ$	Don't put the dictionary away. I'm needing it.$MCQ$	$FIB$Don't put the dictionary away. I need it.
162	Which is right?	$Blankspace$	Don't put the dictionary away. I use it.$MCQ$	Don't put the dictionary away. I'm using it.$MCQ$	$FIB$Don't put the dictionary away. I'm using it.
163	Which is right?	$Blankspace$	Who is that man? Do you recognise him?$MCQ$	Who is that man? Are you recognising him?$MCQ$	$FIB$Who is that man? Do you recognise him?
164	Which is right?	$Blankspace$	Who is that man? Why does he look at us?$MCQ$	Who is that man? Why is he looking at us?$MCQ$	$FIB$Who is that man? Why is he looking at us?
165	Which is right?	$Blankspace$	Alan says he's 80 years old, but nobody believes him.$MCQ$	Alan says he's 80 years old, but nobody is believing him.$MCQ$	$FIB$Alan says he's 80 years old, but nobody believes him.
166	Which is right?	$Blankspace$	What's that noise? What happens?$MCQ$	What's that noise? What's happening?$MCQ$	$FIB$What's that noise? What's happening?
167	Which is right?	$Blankspace$	She told me her name, but I don't remember it now.$MCQ$	She told me her name, but I'm not remembering it now.$MCQ$	$FIB$She told me her name, but I don't remember it now.
168	Which is right?	$Blankspace$	Do you look forward to your holiday next week?$MCQ$	Are you looking forward to your holiday next week?$MCQ$	$FIB$Are you looking forward to your holiday next week?
169	Which is right?	$Blankspace$	Gary wasn't well earlier, but he seems OK now.$MCQ$	Gary wasn't well earlier, but he's seeming OK now.$MCQ$	$FIB$Gary wasn't well earlier, but he seems OK now.
170	Which is right?	$Blankspace$	Air consists mainly of nitrogen and oxygen.$MCQ$	Air is consisting mainly of nitrogen and oxygen.$MCQ$	$FIB$Air consists mainly of nitrogen and oxygen.
